run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[0].channel,packetBytes:sum,,,658376,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[0].channel,throughput:last,,,26344.008587711,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[0].channel,utilization:last,,,0.31143734305826,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[0].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[1].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[1].channel,packets:count,,,350,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[1].channel,packetBytes:sum,,,734712,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[1].channel,throughput:last,,,29415.803818011,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[0].port$o[1].channel,utilization:last,,,0.34165726100803,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[0].port$o[1].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[0].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[0].channel,packets:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[0].channel,packetBytes:sum,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[0].channel,throughput:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[0].channel,utilization:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[0].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[1].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[1].channel,packets:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[1].channel,packetBytes:sum,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[1].channel,throughput:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[1].channel,utilization:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[1].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[2].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[2].channel,packets:count,,,350,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[2].channel,packetBytes:sum,,,738577,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[2].channel,throughput:last,,,29589.782006792,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[1].port$o[2].channel,utilization:last,,,0.73896158665212,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[1].port$o[2].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[0].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[0].channel,packets:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[0].channel,packetBytes:sum,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[0].channel,throughput:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[0].channel,utilization:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[0].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[1].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[1].channel,packets:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[1].channel,packetBytes:sum,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[1].channel,throughput:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[1].channel,utilization:last,,,NaN,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[1].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[2].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[2].channel,packets:count,,,946,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[2].channel,packetBytes:sum,,,2000934,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[2].channel,throughput:last,,,80076.213522352,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[2].channel,utilization:last,,,0.98266979601819,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[2].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[3].channel,packetsDiscarded:count,,,0,,,,,,,,,,
