run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,experiment,PureAlohaExperiment,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,iterationvars,"numHosts=10, iaMean=2",,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,iterationvarsf,"numHosts=10,iaMean=2-",,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,measurement,"numHosts=10, iaMean=2",,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,network,Aloha,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,processid,22739,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,repetition,1,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,replication,#1,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,resultdir,results,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,runnumber,3,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,runattr,,,seedset,3,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,itervar,,,iaMean,2,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,itervar,,,numHosts,10,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,param,,,Aloha.numHosts,10,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,param,,,Aloha.host[*].iaTime,exponential(2s),,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,param,,,Aloha.numHosts,20,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,param,,,Aloha.slotTime,0,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,param,,,Aloha.txRate,9.6kbps,,,,,,,,,,,
PureAlohaExperiment-3-20170627-20:42:20-22739,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,,,
